hnsw-k8s,hnsw,ef_search,10,67.00,0.559,1.871
hnsw-k8s,hnsw,ef_search,20,77.20,0.816,2.093
hnsw-k8s,hnsw,ef_search,40,88.70,1.270,2.954
hnsw-k8s,hnsw,ef_search,80,95.00,1.849,4.149
hnsw-k8s,hnsw,ef_search,160,98.00,11.791,43.018
hnsw-k8s,hnsw,ef_search,320,99.10,87.855,352.179
hnsw-k8s,hnsw,ef_search,640,99.40,32.495,89.600
ivfrq-k8s,ivf,probes,1,47.23,1.388,3.076
ivfrq-k8s,ivf,probes,2,61.50,1.641,3.624
ivfrq-k8s,ivf,probes,4,76.80,1.834,4.434
ivfrq-k8s,ivf,probes,8,88.50,2.099,4.662
ivfrq-k8s,ivf,probes,16,94.90,2.804,5.711
ivfrq-k8s,ivf,probes,32,98.10,3.835,7.417
ivfrq-k8s,ivf,probes,64,99.40,5.707,9.561
ivfrq-k8s,ivf,probes,128,99.60,9.599,14.372
ivfrq-k8s,ivf,probes,256,99.40,16.509,22.392
hnsw-vanilla,hnsw,ef_search,10,71.30,1.611,4.165
hnsw-vanilla,hnsw,ef_search,20,80.80,2.118,5.574
hnsw-vanilla,hnsw,ef_search,40,88.40,2.948,6.617
hnsw-vanilla,hnsw,ef_search,80,94.30,4.478,9.417
hnsw-vanilla,hnsw,ef_search,160,97.90,6.315,14.926
hnsw-vanilla,hnsw,ef_search,320,99.00,8.988,27.778
hnsw-vanilla,hnsw,ef_search,640,99.70,12.679,43.839
ivfrq-vanilla,ivf,probes,1,47.10,1.636,4.675
ivfrq-vanilla,ivf,probes,2,61.31,2.267,6.669
ivfrq-vanilla,ivf,probes,4,76.57,2.649,7.150
ivfrq-vanilla,ivf,probes,8,88.00,3.071,7.781
ivfrq-vanilla,ivf,probes,16,94.40,3.600,8.339
ivfrq-vanilla,ivf,probes,32,97.80,4.525,10.507
ivfrq-vanilla,ivf,probes,64,99.30,6.421,12.066
ivfrq-vanilla,ivf,probes,128,99.80,9.402,15.319
ivfrq-vanilla,ivf,probes,256,99.80,15.157,22.382
